 Output
 ======
Circle is divided into 20 states, [0..19]
Column 1: The time at which the Poisson clock rings
Column 2: Position of x ( =5 in this case)
Column 3: Position of y ( =14 in this case)
Column 4: abs(x-y)
We show the first 100 moves below

  > source('~/Desktop/statistics phd/spring 2019/532/discjump.R')
            [,1] [,2] [,3] [,4]
  [1,]  1.067213    5   14    9
  [2,]  1.329055    6   14    8
  [3,]  1.360632    7   14    7
  [4,]  1.380729    7   15    8
  [5,]  1.416843    8   15    7
  [6,]  1.733344    7   15    8
  [7,]  2.047572    8   15    7
  [8,]  2.192839    7   15    8
  [9,]  2.355369    7   16    9
 [10,]  4.243193    7   15    8
 [11,]  4.807781    7   14    7
 [12,]  4.919075    8   14    6
 [13,]  4.948228    9   14    5
 [14,]  5.953058   10   14    4
 [15,]  6.433273    9   14    5
 [16,]  6.714287    8   14    6
 [17,]  7.091405    9   14    5
 [18,]  7.279689   10   14    4
 [19,]  7.384743   10   15    5
 [20,]  8.129475    9   15    6
 [21,]  8.432438    9   14    5
 [22,]  9.456880    9   15    6
 [23,]  9.692678    8   15    7
 [24,] 10.171439    9   15    6
 [25,] 10.484749    9   14    5
 [26,] 10.762374   10   14    4
 [27,] 10.769418   10   15    5
 [28,] 12.332470   10   16    6
 [29,] 12.374558   10   15    5
 [30,] 12.473189   10   16    6
 [31,] 12.571758   10   15    5
 [32,] 12.852143   10   14    4
 [33,] 13.147930   10   13    3
 [34,] 14.120360   10   12    2
 [35,] 14.803385    9   12    3
 [36,] 15.044387    9   11    2
 [37,] 15.646535    8   11    3
 [38,] 16.612406    9   11    2
 [39,] 16.686792    9   10    1
 [40,] 18.097682    9   10    1
 [41,] 18.306705    9   10    1
 [42,] 19.445727    8   10    2
 [43,] 20.614256    9   10    1
 [44,] 20.842850    9   11    2
 [45,] 22.220108    8   11    3
 [46,] 22.364400    8   12    4
 [47,] 22.744414    8   13    5
 [48,] 22.982927    8   14    6
 [49,] 23.449414    8   13    5
 [50,] 23.491686    8   12    4
 [51,] 23.716851    7   12    5
 [52,] 23.811363    7   13    6
 [53,] 24.454974    7   14    7
 [54,] 25.027537    7   15    8
 [55,] 25.243592    7   16    9
 [56,] 25.287503    6   16   10
 [57,] 25.319271    7   16    9
 [58,] 25.917121    6   16   10
 [59,] 28.084960    5   16   11
 [60,] 28.591576    4   16   12
 [61,] 28.851134    3   16   13
 [62,] 29.742266    3   17   14
 [63,] 31.448026    2   17   15
 [64,] 31.599356    2   18   16
 [65,] 32.284815    2   19   17
 [66,] 32.677052    3   19   16
 [67,] 33.467734    2   19   17
 [68,] 33.724267    2    0    2
 [69,] 34.097014    1    0    1
 [70,] 35.351655    2    0    2
 [71,] 35.455421    2   19   17
 [72,] 35.940339    3   19   16
 [73,] 36.700205    3    0    3
 [74,] 37.069629    4    0    4
 [75,] 37.489994    3    0    3
 [76,] 38.163505    3   19   16
 [77,] 39.700899    3    0    3
 [78,] 39.705498    3   19   16
 [79,] 40.814264    3    0    3
 [80,] 41.114234    3    1    2
 [81,] 42.306237    3    0    3
 [82,] 43.421166    3   19   16
 [83,] 43.488542    3   18   15
 [84,] 43.969210    3   19   16
 [85,] 44.701002    4   19   15
 [86,] 45.539665    4    0    4
 [87,] 45.546724    5    0    5
 [88,] 45.772266    6    0    6
 [89,] 45.799611    6    1    5
 [90,] 46.872605    7    1    6
 [91,] 47.656533    7    0    7
 [92,] 48.119753    7   19   12
 [93,] 48.355789    7   18   11
 [94,] 49.120910    8   18   10
 [95,] 50.484645    9   18    9
 [96,] 51.061036    8   18   10
 [97,] 53.786312    7   18   11
 [98,] 55.098475    6   18   12
 [99,] 55.189066    7   18   11
[100,] 55.495270    8   18   10
